course name,course title,course time,course link
COMP_SCI 496,Graduate Social Network Analysis,2-5 FContractor,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-37.html
COMP_SCI 496,Mathematical Foundations of Machine Learning,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-38.html
COMP_SCI 496,Academic Job Search,3-5 MKhuller,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-39.html
COMP_SCI 496,Transformative AI and the Learning Sciences,1-3:50 TO'Rourke,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-40.html
COMP_SCI 497,Advanced Database Systems,3:30-4:50 MWCrotty,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/497-9.html
COMP_SCI 497,Learning Augmented Online Algorithms,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/497-10.html
COMP_SCI 497,Explanation and reproducibility in data-driven science,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/497-11.html
COMP_SCI 497,Recent Highlights in Theoretical Computer Science,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/497-12.html
COMP_SCI 497,Digital Musical Instrument Design,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/497-3.html
COMP_SCI 497,The Design of Tools and Technologies for Computer Science Education,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/497-4.html
COMP_SCI 497,Deep Learning for Natural Language Processing,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/497-6.html
COMP_SCI 497,Data Economics,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/497-8.html
